Stay Name,Stay Type,Country,City,Amenities,Price per Night (USD)
Moonlight Lodge,Business Trips and Meet Stays,Australia,Brisbane,"Air Conditioning, Parking, WiFi, Projector Facility",113.74
Skyline Inn,Resort,Brazil,Rio de Janeiro,"Parking, 24hr Reception, WiFi, Room Service, TV, Private Beach",321.25
Greenfield Inn,Business Trips and Meet Stays,France,Paris,"TV, Parking, 24hr Reception, Room Service, WiFi, Air Conditioning, Projector Facility",90.12
Paradise Suites,Resort,South Africa,Johannesburg,"Parking, Room Service, 24hr Reception, Spa",128.03
Cosmic Resort,Business Trips and Meet Stays,Australia,Sydney,"Air Conditioning, 24hr Reception, Room Service, WiFi, Business Center, Conference Room",118.04
Tranquil Business Rooms,Vacation Tours and Travels,UK,Manchester,"TV, Parking, Air Conditioning, Room Service, WiFi, Vehicle Rentals",102.51
Greenfield Inn,Resort,UK,London,"TV, WiFi, Parking, Nature Walks, Adventure Sports",271.93
Amber Motel,Hotel,South Africa,Johannesburg,"Parking, WiFi, Room Service, Air Conditioning, TV, Laundry Service, Concierge",184.94
Imperial Motel,Vacation Tours and Travels,Australia,Sydney,"Air Conditioning, Parking, Room Service, 24hr Reception, WiFi, Local Cuisine Sampling",62.05
Paradise Motel,Hotel,UK,Birmingham,"Parking, 24hr Reception, WiFi, TV, Air Conditioning, Room Service, Concierge",179.77
Sunset Inn,Vacation Tours and Travels,Japan,Tokyo,"24hr Reception, Parking, WiFi, TV, Vehicle Rentals",45.95
Azure Tours,Hotel,Japan,Tokyo,"Air Conditioning, Parking, 24hr Reception, Room Service, WiFi, TV, Laundry Service",123.87
Maple Travels,Vacation Tours and Travels,USA,Chicago,"Parking, WiFi, Air Conditioning, Guided City Tours, Local Cuisine Sampling",108.18
Golden Resort,Business Trips and Meet Stays,Brazil,Brasília,"24hr Reception, Parking, Air Conditioning, Projector Facility, Conference Room",92.1
Golden Suites,Business Trips and Meet Stays,Germany,Frankfurt,"TV, WiFi, Air Conditioning, Parking, Business Center, Conference Room",121.07
Royal Suites,Hotel,South Africa,Cape Town,"TV, WiFi, 24hr Reception, Parking, Room Service, Laundry Service, Mini Bar",182.39
Skyline Hotels,Business Trips and Meet Stays,USA,New York,"Room Service, Air Conditioning, Parking, Work Desk, Projector Facility",190.94
Amber Travels,Hotel,Japan,Kyoto,"Room Service, WiFi, Air Conditioning, 24hr Reception, Parking, Laundry Service, Concierge",181.91
Royal Motel,Business Trips and Meet Stays,France,Marseille,"TV, Parking, 24hr Reception, Air Conditioning, WiFi, Room Service, Conference Room, Work Desk",145.14
Greenfield Lodge,Hotel,South Africa,Cape Town,"24hr Reception, Air Conditioning, WiFi, Parking, Laundry Service, Mini Bar",73.65
Sunset Tours,Vacation Tours and Travels,Germany,Munich,"Parking, Room Service, Air Conditioning, WiFi, Vehicle Rentals",39.58
Urban Business Rooms,Hotel,Germany,Munich,"WiFi, Room Service, 24hr Reception, Parking, Air Conditioning, Concierge, Mini Bar",102.25
Royal Lodge,Vacation Tours and Travels,Australia,Melbourne,"Room Service, 24hr Reception, TV, WiFi, Air Conditioning, Parking, Local Cuisine Sampling",68.63
Greenfield Lodge,Business Trips and Meet Stays,Japan,Osaka,"Air Conditioning, 24hr Reception, TV, Business Center, Conference Room",96.21
Tranquil Motel,Business Trips and Meet Stays,Brazil,Brasília,"24hr Reception, Room Service, Parking, TV, Work Desk, Business Center",95.27
Majestic Lodge,Resort,Japan,Osaka,"Air Conditioning, Room Service, TV, Nature Walks",292.45
Sunset Suites,Resort,Japan,Osaka,"WiFi, Parking, TV, Room Service, Air Conditioning, 24hr Reception, Nature Walks, Adventure Sports",153.95
Tranquil Travels,Business Trips and Meet Stays,Germany,Frankfurt,"Air Conditioning, Parking, TV, 24hr Reception, Business Center, Work Desk",211.42
Royal Business Rooms,Business Trips and Meet Stays,South Africa,Durban,"Room Service, TV, WiFi, 24hr Reception, Air Conditioning, Parking, Projector Facility, Conference Room",182.1
Palm Hotels,Business Trips and Meet Stays,South Africa,Durban,"24hr Reception, Air Conditioning, Room Service, Projector Facility",208.21
Heritage Tours,Hotel,Germany,Berlin,"WiFi, Room Service, 24hr Reception, Air Conditioning, Parking, TV, Mini Bar",79.98
Royal Resort,Vacation Tours and Travels,Japan,Osaka,"TV, WiFi, 24hr Reception, Air Conditioning, Vehicle Rentals",138.88
Tranquil Motel,Hotel,Japan,Tokyo,"Room Service, TV, 24hr Reception, WiFi, Air Conditioning, Parking, Laundry Service",196.36
Cosmic Travels,Business Trips and Meet Stays,Brazil,Brasília,"Parking, Room Service, 24hr Reception, TV, Work Desk, Conference Room",244.7
Azure Business Rooms,Resort,Australia,Sydney,"Air Conditioning, WiFi, TV, 24hr Reception, Adventure Sports",295.33
Amber Tours,Resort,Germany,Berlin,"Room Service, Parking, WiFi, 24hr Reception, TV, Adventure Sports, Private Beach",165.48
Heritage Travels,Vacation Tours and Travels,South Africa,Durban,"TV, Air Conditioning, Parking, Room Service, WiFi, 24hr Reception, Vehicle Rentals, Local Cuisine Sampling",93.24
Sunset Business Rooms,Business Trips and Meet Stays,Australia,Sydney,"Room Service, WiFi, TV, 24hr Reception, Parking, Air Conditioning, Conference Room",232.11
Tranquil Motel,Business Trips and Meet Stays,Germany,Munich,"TV, Parking, WiFi, Air Conditioning, Work Desk, Conference Room",152.82
Sapphire Inn,Hotel,Japan,Kyoto,"Room Service, TV, 24hr Reception, Mini Bar",164.3
Palm Travels,Business Trips and Meet Stays,France,Marseille,"WiFi, Air Conditioning, Parking, Room Service, Work Desk",207.48
Oceanic Motel,Business Trips and Meet Stays,India,Mumbai,"Room Service, WiFi, TV, Parking, Air Conditioning, Conference Room",103.66
Paradise Retreat,Resort,Brazil,São Paulo,"Room Service, Parking, TV, Private Beach, Spa",201.2
Paradise Lodge,Business Trips and Meet Stays,Brazil,Rio de Janeiro,"Air Conditioning, Parking, WiFi, 24hr Reception, Room Service, TV, Business Center, Work Desk",244.25
Urban Resort,Resort,Australia,Brisbane,"24hr Reception, Air Conditioning, Room Service, Parking, Adventure Sports",194.26
Azure Hotels,Business Trips and Meet Stays,Brazil,São Paulo,"TV, Room Service, Parking, WiFi, 24hr Reception, Air Conditioning, Conference Room, Work Desk",159.78
Urban Tours,Vacation Tours and Travels,Germany,Berlin,"TV, Room Service, WiFi, Parking, 24hr Reception, Air Conditioning, Guided City Tours",91.2
Skyline Lodge,Hotel,Canada,Vancouver,"Room Service, TV, Air Conditioning, WiFi, 24hr Reception, Laundry Service",185.35
Maple Motel,Business Trips and Meet Stays,Australia,Brisbane,"WiFi, 24hr Reception, TV, Room Service, Parking, Business Center",232.82
Imperial Resort,Hotel,USA,New York,"Room Service, TV, Air Conditioning, 24hr Reception, Parking, WiFi, Mini Bar",108.17
Cosmic Travels,Vacation Tours and Travels,South Africa,Johannesburg,"Room Service, WiFi, TV, Parking, Air Conditioning, 24hr Reception, Local Cuisine Sampling",97.78
Golden Inn,Business Trips and Meet Stays,India,Delhi,"Parking, Air Conditioning, 24hr Reception, Room Service, WiFi, Conference Room, Business Center",246.57
Heritage Retreat,Vacation Tours and Travels,France,Paris,"Room Service, WiFi, Parking, 24hr Reception, Guided City Tours",106.44
Royal Tours,Business Trips and Meet Stays,USA,Chicago,"Room Service, Air Conditioning, 24hr Reception, WiFi, Business Center, Projector Facility",170.84
Skyline Travels,Vacation Tours and Travels,USA,Miami,"Parking, 24hr Reception, Air Conditioning, Guided City Tours, Local Cuisine Sampling",55.28
Royal Lodge,Vacation Tours and Travels,Brazil,Brasília,"Parking, Room Service, Air Conditioning, Local Cuisine Sampling",58.98
Urban Travels,Vacation Tours and Travels,Germany,Munich,"WiFi, Parking, 24hr Reception, Vehicle Rentals, Guided City Tours",57.15
Sapphire Business Rooms,Business Trips and Meet Stays,USA,Chicago,"Air Conditioning, Parking, 24hr Reception, Room Service, TV, Business Center, Work Desk",206.62
Moonlight Hotels,Vacation Tours and Travels,Canada,Montreal,"Room Service, Air Conditioning, WiFi, Vehicle Rentals, Guided City Tours",135.31
Tranquil Business Rooms,Hotel,Canada,Toronto,"Parking, Room Service, TV, 24hr Reception, Air Conditioning, WiFi, Concierge",169.42
Vikas Lodge,Business Trips and Meet Stays,India,Hyderabad,"Room Service, WiFi, Air Conditioning, Business Center, Work Desk",185.97
Majestic Lodge,Resort,Brazil,Brasília,"Parking, WiFi, TV, Room Service, Air Conditioning, 24hr Reception, Nature Walks, Private Beach",129.0
Royal Hotels,Resort,USA,Los Angeles,"WiFi, 24hr Reception, Parking, Air Conditioning, Room Service, TV, Spa, Nature Walks",256.17
Royal Tours,Vacation Tours and Travels,Germany,Frankfurt,"Room Service, Parking, WiFi, Air Conditioning, 24hr Reception, Guided City Tours",140.63
Heritage Business Rooms,Resort,Australia,Melbourne,"TV, Parking, 24hr Reception, Nature Walks",238.7
Urban Resort,Business Trips and Meet Stays,Australia,Brisbane,"WiFi, Parking, Air Conditioning, TV, 24hr Reception, Room Service, Conference Room",99.67
Vikas Motel,Business Trips and Meet Stays,Canada,Toronto,"Parking, Room Service, WiFi, Work Desk",136.7
Greenfield Retreat,Hotel,France,Marseille,"Room Service, 24hr Reception, Parking, Concierge, Mini Bar",111.19
Oceanic Inn,Vacation Tours and Travels,India,Delhi,"24hr Reception, Room Service, Parking, WiFi, Air Conditioning, TV, Vehicle Rentals",45.43
Imperial Resort,Business Trips and Meet Stays,Germany,Munich,"Air Conditioning, WiFi, Room Service, Parking, 24hr Reception, TV, Business Center, Conference Room",87.24
Majestic Lodge,Business Trips and Meet Stays,Canada,Montreal,"TV, Air Conditioning, Room Service, 24hr Reception, Business Center, Work Desk",211.19
Sunset Inn,Hotel,France,Marseille,"WiFi, 24hr Reception, Room Service, Parking, Concierge, Laundry Service",102.74
Royal Travels,Hotel,Brazil,Brasília,"TV, WiFi, Parking, Air Conditioning, Room Service, Concierge, Laundry Service",162.8
Skyline Travels,Business Trips and Meet Stays,India,Mumbai,"Room Service, 24hr Reception, TV, Parking, Projector Facility",212.32
Amber Resort,Business Trips and Meet Stays,Japan,Kyoto,"Parking, Air Conditioning, 24hr Reception, Room Service, TV, Work Desk",155.34
Vikas Lodge,Business Trips and Meet Stays,India,Delhi,"24hr Reception, Room Service, TV, Air Conditioning, WiFi, Projector Facility",147.83
Oceanic Inn,Resort,Germany,Berlin,"24hr Reception, Air Conditioning, Parking, Room Service, TV, Private Beach, Spa",225.87
Oceanic Suites,Resort,India,Bangalore,"24hr Reception, TV, Room Service, Parking, WiFi, Air Conditioning, Adventure Sports",265.28
Urban Tours,Resort,UK,London,"Room Service, 24hr Reception, TV, Air Conditioning, Parking, WiFi, Spa, Private Beach",118.44
Maple Tours,Vacation Tours and Travels,Brazil,Rio de Janeiro,"Parking, TV, 24hr Reception, Air Conditioning, Guided City Tours, Local Cuisine Sampling",66.77
Maple Hotels,Business Trips and Meet Stays,Canada,Montreal,"WiFi, 24hr Reception, Room Service, Air Conditioning, TV, Parking, Projector Facility",121.89
Moonlight Travels,Hotel,India,Bangalore,"Parking, Air Conditioning, WiFi, 24hr Reception, TV, Room Service, Concierge, Mini Bar",129.37
Tranquil Inn,Hotel,Australia,Sydney,"24hr Reception, TV, Air Conditioning, Concierge, Mini Bar",156.44
Sapphire Business Rooms,Hotel,India,Hyderabad,"WiFi, Air Conditioning, 24hr Reception, Parking, Room Service, Laundry Service, Mini Bar",56.12
Imperial Retreat,Vacation Tours and Travels,USA,Miami,"Room Service, WiFi, Air Conditioning, TV, 24hr Reception, Guided City Tours, Local Cuisine Sampling",96.08
Majestic Suites,Vacation Tours and Travels,USA,New York,"24hr Reception, Room Service, Parking, TV, Air Conditioning, WiFi, Guided City Tours",77.93
Heritage Motel,Vacation Tours and Travels,France,Paris,"24hr Reception, Room Service, Air Conditioning, TV, WiFi, Parking, Guided City Tours",70.47
Urban Retreat,Hotel,Brazil,Rio de Janeiro,"Parking, Air Conditioning, Room Service, 24hr Reception, TV, WiFi, Laundry Service",162.37
Royal Suites,Hotel,USA,New York,"WiFi, 24hr Reception, TV, Mini Bar, Concierge",89.86
Cosmic Suites,Business Trips and Meet Stays,India,Delhi,"24hr Reception, WiFi, Parking, TV, Air Conditioning, Room Service, Business Center",120.11
Greenfield Retreat,Hotel,Australia,Brisbane,"Parking, WiFi, Air Conditioning, 24hr Reception, Room Service, Laundry Service, Mini Bar",75.91
Amber Tours,Vacation Tours and Travels,Japan,Kyoto,"Parking, WiFi, Room Service, TV, 24hr Reception, Air Conditioning, Guided City Tours, Local Cuisine Sampling",106.66
Majestic Resort,Vacation Tours and Travels,Australia,Sydney,"Air Conditioning, Room Service, 24hr Reception, TV, WiFi, Parking, Local Cuisine Sampling",149.04
Sunset Suites,Business Trips and Meet Stays,South Africa,Johannesburg,"WiFi, Room Service, Parking, TV, 24hr Reception, Work Desk, Projector Facility",162.55
Imperial Tours,Vacation Tours and Travels,Germany,Berlin,"24hr Reception, Room Service, Parking, WiFi, TV, Air Conditioning, Guided City Tours",41.85
Oceanic Motel,Hotel,South Africa,Johannesburg,"Room Service, Parking, 24hr Reception, Air Conditioning, WiFi, Mini Bar",88.0
Skyline Suites,Hotel,India,Mumbai,"Parking, Air Conditioning, 24hr Reception, WiFi, Room Service, Laundry Service",121.23
Urban Tours,Hotel,France,Lyon,"Parking, Room Service, Air Conditioning, Mini Bar",62.31
Amber Suites,Hotel,USA,Chicago,"Room Service, WiFi, TV, Air Conditioning, 24hr Reception, Parking, Laundry Service",63.93
Palm Business Rooms,Business Trips and Meet Stays,Australia,Brisbane,"TV, 24hr Reception, Room Service, Work Desk",167.19
Heritage Motel,Hotel,France,Marseille,"Air Conditioning, 24hr Reception, TV, WiFi, Room Service, Parking, Concierge, Mini Bar",51.81
Golden Suites,Vacation Tours and Travels,USA,Chicago,"24hr Reception, TV, Room Service, Air Conditioning, WiFi, Parking, Local Cuisine Sampling",68.69
Heritage Resort,Resort,Japan,Tokyo,"Air Conditioning, WiFi, 24hr Reception, Room Service, Parking, TV, Spa, Nature Walks",325.17
Moonlight Tours,Resort,Germany,Berlin,"WiFi, TV, 24hr Reception, Parking, Room Service, Air Conditioning, Spa",390.96
Heritage Hotels,Business Trips and Meet Stays,France,Lyon,"Parking, Air Conditioning, WiFi, TV, Conference Room, Work Desk",171.44
Heritage Retreat,Vacation Tours and Travels,Australia,Sydney,"24hr Reception, Room Service, WiFi, Vehicle Rentals, Guided City Tours",100.32
Tranquil Travels,Business Trips and Meet Stays,France,Paris,"Air Conditioning, 24hr Reception, Parking, WiFi, Room Service, Projector Facility, Conference Room",171.67
Cosmic Business Rooms,Hotel,USA,Los Angeles,"TV, WiFi, Parking, Laundry Service, Mini Bar",111.82
Greenfield Tours,Resort,South Africa,Durban,"Parking, 24hr Reception, Room Service, TV, WiFi, Air Conditioning, Nature Walks",231.56
Imperial Hotels,Hotel,India,Hyderabad,"Air Conditioning, TV, Parking, Mini Bar, Laundry Service",157.21
Moonlight Resort,Hotel,Japan,Kyoto,"Room Service, TV, Air Conditioning, WiFi, 24hr Reception, Parking, Concierge, Laundry Service",64.96
Urban Motel,Vacation Tours and Travels,South Africa,Durban,"Room Service, WiFi, TV, 24hr Reception, Local Cuisine Sampling",69.11
Sapphire Hotels,Resort,Germany,Berlin,"Air Conditioning, TV, WiFi, 24hr Reception, Room Service, Adventure Sports",145.3
Sapphire Travels,Hotel,India,Bangalore,"Air Conditioning, Parking, 24hr Reception, Concierge",149.34
Sunset Retreat,Resort,Brazil,Rio de Janeiro,"Air Conditioning, Room Service, WiFi, TV, Spa",355.72
Tranquil Hotels,Resort,Brazil,São Paulo,"Air Conditioning, WiFi, 24hr Reception, Private Beach",393.7
Cosmic Suites,Resort,Brazil,Brasília,"WiFi, TV, Room Service, Private Beach",156.7
Azure Suites,Business Trips and Meet Stays,USA,Los Angeles,"Room Service, 24hr Reception, Parking, Business Center",104.41
Cosmic Retreat,Resort,Japan,Kyoto,"Room Service, Air Conditioning, Parking, WiFi, TV, 24hr Reception, Private Beach",317.7
Cosmic Travels,Vacation Tours and Travels,Australia,Sydney,"Parking, Air Conditioning, WiFi, Vehicle Rentals",118.31
Golden Resort,Vacation Tours and Travels,Australia,Sydney,"WiFi, Room Service, TV, Air Conditioning, Parking, Guided City Tours, Vehicle Rentals",79.99
Golden Resort,Vacation Tours and Travels,UK,Birmingham,"Air Conditioning, TV, 24hr Reception, WiFi, Parking, Room Service, Vehicle Rentals, Local Cuisine Sampling",89.86
Sunset Motel,Resort,Japan,Kyoto,"24hr Reception, WiFi, Parking, Air Conditioning, Nature Walks",313.67
Golden Resort,Vacation Tours and Travels,Australia,Melbourne,"Parking, Air Conditioning, 24hr Reception, Vehicle Rentals, Local Cuisine Sampling",74.29
Sapphire Business Rooms,Resort,France,Lyon,"Air Conditioning, 24hr Reception, TV, Room Service, WiFi, Parking, Spa, Private Beach",365.92
Moonlight Lodge,Vacation Tours and Travels,UK,Manchester,"WiFi, Room Service, Parking, Air Conditioning, TV, 24hr Reception, Local Cuisine Sampling",47.57
Moonlight Hotels,Vacation Tours and Travels,South Africa,Cape Town,"Room Service, TV, Air Conditioning, Local Cuisine Sampling",86.22
Sapphire Suites,Vacation Tours and Travels,Japan,Tokyo,"Room Service, WiFi, TV, 24hr Reception, Air Conditioning, Parking, Local Cuisine Sampling, Guided City Tours",32.66
Amber Travels,Vacation Tours and Travels,Germany,Munich,"WiFi, Air Conditioning, Parking, Local Cuisine Sampling",146.41
Amber Tours,Business Trips and Meet Stays,Canada,Montreal,"Room Service, Parking, WiFi, TV, Air Conditioning, Work Desk",116.77
Paradise Lodge,Resort,USA,Los Angeles,"Parking, TV, 24hr Reception, Nature Walks",218.67
Skyline Suites,Vacation Tours and Travels,USA,Los Angeles,"WiFi, 24hr Reception, Room Service, Parking, Air Conditioning, Local Cuisine Sampling",106.92
Majestic Lodge,Hotel,South Africa,Cape Town,"TV, Air Conditioning, 24hr Reception, Parking, Laundry Service, Mini Bar",70.87
Cosmic Inn,Vacation Tours and Travels,Japan,Tokyo,"Parking, WiFi, Room Service, TV, Vehicle Rentals, Local Cuisine Sampling",63.81
Heritage Suites,Vacation Tours and Travels,USA,Miami,"WiFi, 24hr Reception, Parking, Room Service, TV, Guided City Tours, Local Cuisine Sampling",127.2
Cosmic Travels,Hotel,Australia,Sydney,"WiFi, TV, Room Service, Concierge",185.34
Palm Travels,Business Trips and Meet Stays,USA,Miami,"Parking, WiFi, TV, Projector Facility",217.95
Tranquil Business Rooms,Business Trips and Meet Stays,India,Hyderabad,"Parking, Room Service, Air Conditioning, TV, 24hr Reception, WiFi, Conference Room",199.01
Golden Lodge,Resort,Australia,Brisbane,"Parking, Air Conditioning, Room Service, TV, 24hr Reception, WiFi, Adventure Sports",224.92
Moonlight Inn,Resort,Germany,Munich,"WiFi, TV, Air Conditioning, Parking, Room Service, Adventure Sports, Nature Walks",137.09
Skyline Retreat,Vacation Tours and Travels,Australia,Melbourne,"WiFi, 24hr Reception, Parking, Room Service, Air Conditioning, Vehicle Rentals",70.4
Tranquil Lodge,Vacation Tours and Travels,USA,Chicago,"24hr Reception, Parking, Room Service, WiFi, Vehicle Rentals, Local Cuisine Sampling",122.54
Sapphire Resort,Business Trips and Meet Stays,USA,Los Angeles,"Air Conditioning, 24hr Reception, Parking, WiFi, TV, Conference Room",96.92
Vikas Tours,Hotel,Germany,Frankfurt,"Air Conditioning, WiFi, Room Service, Mini Bar, Concierge",60.97
Urban Suites,Business Trips and Meet Stays,UK,Manchester,"Parking, Room Service, WiFi, Air Conditioning, 24hr Reception, Business Center",217.56
Urban Resort,Hotel,India,Hyderabad,"Parking, WiFi, Room Service, 24hr Reception, Air Conditioning, Concierge, Mini Bar",128.22
Heritage Resort,Resort,Japan,Tokyo,"Parking, Room Service, Air Conditioning, Private Beach",114.32
Tranquil Motel,Vacation Tours and Travels,Canada,Vancouver,"24hr Reception, Air Conditioning, TV, Guided City Tours, Local Cuisine Sampling",74.33
Moonlight Resort,Business Trips and Meet Stays,UK,Birmingham,"Room Service, WiFi, Parking, TV, Conference Room, Work Desk",164.42
Tranquil Business Rooms,Resort,Japan,Kyoto,"Air Conditioning, WiFi, 24hr Reception, TV, Parking, Private Beach, Spa",125.04
Oceanic Retreat,Business Trips and Meet Stays,Canada,Montreal,"24hr Reception, WiFi, TV, Parking, Room Service, Air Conditioning, Business Center, Work Desk",164.95
Maple Resort,Vacation Tours and Travels,France,Lyon,"Air Conditioning, Room Service, 24hr Reception, WiFi, Vehicle Rentals, Local Cuisine Sampling",112.17
Cosmic Tours,Hotel,USA,Chicago,"Air Conditioning, Parking, Room Service, TV, 24hr Reception, Mini Bar, Concierge",119.87
Maple Travels,Resort,India,Mumbai,"Room Service, WiFi, Air Conditioning, Adventure Sports, Spa",211.09
Royal Resort,Business Trips and Meet Stays,Japan,Tokyo,"Air Conditioning, TV, Room Service, Conference Room, Business Center",193.94
Tranquil Business Rooms,Hotel,Australia,Melbourne,"Parking, WiFi, 24hr Reception, Concierge, Mini Bar",180.11
Azure Lodge,Hotel,UK,Birmingham,"24hr Reception, Air Conditioning, WiFi, Mini Bar",102.5
Greenfield Lodge,Hotel,France,Lyon,"WiFi, Parking, Air Conditioning, Concierge, Laundry Service",112.07
Heritage Travels,Resort,Australia,Melbourne,"Room Service, 24hr Reception, WiFi, Private Beach",205.31
Golden Tours,Resort,South Africa,Durban,"Room Service, WiFi, TV, Air Conditioning, Parking, Spa, Nature Walks",389.92
Royal Tours,Hotel,Germany,Frankfurt,"WiFi, Air Conditioning, 24hr Reception, Laundry Service",104.89
Imperial Lodge,Business Trips and Meet Stays,South Africa,Cape Town,"24hr Reception, TV, Air Conditioning, Projector Facility, Conference Room",119.09
Sapphire Travels,Vacation Tours and Travels,South Africa,Johannesburg,"Room Service, Parking, TV, WiFi, Guided City Tours",53.05
Sunset Hotels,Resort,USA,Los Angeles,"Air Conditioning, 24hr Reception, Room Service, TV, Parking, WiFi, Nature Walks, Spa",132.49
Urban Suites,Business Trips and Meet Stays,South Africa,Cape Town,"Room Service, Parking, 24hr Reception, Business Center, Conference Room",81.22
Amber Resort,Hotel,Japan,Osaka,"TV, Parking, 24hr Reception, WiFi, Laundry Service",52.59
Tranquil Business Rooms,Hotel,India,Hyderabad,"TV, Parking, Air Conditioning, Room Service, Concierge",124.5
Azure Business Rooms,Vacation Tours and Travels,Canada,Montreal,"TV, Room Service, 24hr Reception, WiFi, Parking, Air Conditioning, Local Cuisine Sampling",55.08
Urban Inn,Vacation Tours and Travels,South Africa,Durban,"24hr Reception, Parking, Room Service, TV, WiFi, Air Conditioning, Guided City Tours",34.39
Heritage Tours,Resort,Germany,Frankfurt,"TV, Room Service, Air Conditioning, Parking, WiFi, 24hr Reception, Spa, Adventure Sports",391.53
Sunset Motel,Resort,USA,New York,"WiFi, TV, 24hr Reception, Spa",358.19
Palm Tours,Resort,India,Delhi,"Room Service, TV, 24hr Reception, WiFi, Air Conditioning, Parking, Spa, Adventure Sports",384.11
Azure Suites,Vacation Tours and Travels,USA,Chicago,"Parking, TV, WiFi, Air Conditioning, Room Service, 24hr Reception, Vehicle Rentals",52.89
Sunset Retreat,Hotel,UK,Manchester,"TV, Parking, 24hr Reception, Air Conditioning, Laundry Service",80.55
Majestic Travels,Hotel,India,Bangalore,"WiFi, Room Service, TV, Air Conditioning, Parking, Mini Bar",186.36
Amber Resort,Business Trips and Meet Stays,Australia,Sydney,"24hr Reception, TV, WiFi, Projector Facility",148.95
Azure Resort,Hotel,Brazil,São Paulo,"Parking, WiFi, 24hr Reception, Laundry Service, Concierge",104.72
Oceanic Business Rooms,Resort,Australia,Sydney,"Air Conditioning, WiFi, 24hr Reception, Adventure Sports, Nature Walks",154.0
Skyline Business Rooms,Resort,Brazil,São Paulo,"WiFi, 24hr Reception, Air Conditioning, TV, Room Service, Adventure Sports",180.22
Azure Motel,Hotel,Japan,Osaka,"Room Service, 24hr Reception, WiFi, Air Conditioning, TV, Parking, Concierge",197.28
Imperial Tours,Hotel,India,Delhi,"Room Service, WiFi, 24hr Reception, TV, Parking, Laundry Service, Concierge",131.29
Heritage Lodge,Vacation Tours and Travels,Canada,Toronto,"Air Conditioning, Parking, TV, WiFi, Room Service, 24hr Reception, Local Cuisine Sampling, Guided City Tours",138.04
Amber Suites,Business Trips and Meet Stays,India,Delhi,"Parking, 24hr Reception, WiFi, TV, Air Conditioning, Projector Facility",129.49
Cosmic Retreat,Hotel,Brazil,Brasília,"Parking, Room Service, TV, Concierge, Mini Bar",168.33
Royal Suites,Business Trips and Meet Stays,USA,Los Angeles,"Air Conditioning, Room Service, WiFi, Parking, TV, 24hr Reception, Projector Facility",80.71
Amber Tours,Vacation Tours and Travels,Brazil,São Paulo,"24hr Reception, Room Service, WiFi, Guided City Tours, Local Cuisine Sampling",118.8
Skyline Suites,Resort,Brazil,Brasília,"Room Service, Air Conditioning, WiFi, TV, 24hr Reception, Adventure Sports",313.05
Palm Tours,Resort,India,Bangalore,"24hr Reception, Air Conditioning, Parking, Private Beach, Nature Walks",173.53
Paradise Retreat,Hotel,Canada,Vancouver,"TV, WiFi, Air Conditioning, 24hr Reception, Room Service, Parking, Mini Bar, Concierge",163.33
Greenfield Business Rooms,Business Trips and Meet Stays,India,Mumbai,"WiFi, TV, Room Service, Air Conditioning, Work Desk",131.3
Imperial Tours,Business Trips and Meet Stays,Canada,Toronto,"Room Service, Parking, Air Conditioning, Business Center, Work Desk",144.01
